Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,n_cols,attrition_yes,attrition_no,total,attrition_rate,attrition_lift
,,,Near,,,,,,,,,Single,,,,,Excellent,,,,,,,,,,3,43,141,184,0.2337,1.4495
,,,,,Life Sciences,,,,,,,,,,,,,,No Stock,,Medium,,,,,,3,43,141,184,0.2337,1.4495
,Travel_Frequently,,,,,,,,,,,,,Few,,,,,,,,High,,,,,3,25,82,107,0.2336,1.4492
,,,,,,High,,,Entry,,,,,,,,,,,,,High,,,,,3,25,82,107,0.2336,1.4492
,Travel_Rarely,,,,,,,,,,High,,,,,,,,No Stock,,,,,,,,3,32,105,137,0.2336,1.4488
,,,Near,,,,,,,,,Single,,,,,,,,,,,,,,,2,50,164,214,0.2336,1.4492
,,Research & Development,,,,,,High,,,,,,,,,,,,Junior,,,,,,,3,25,82,107,0.2336,1.4492
,,,Near,,,,,,,,,Single,,,,,,,No Stock,,,,,,,,3,50,164,214,0.2336,1.4492
Young,,Research & Development,,,,,,High,,,,,,,,,,,,,,,,,,,3,32,105,137,0.2336,1.4488
,Travel_Frequently,Research & Development,,,,,Male,,,,,,,,,,,,,,,,,,,,3,25,82,107,0.2336,1.4492
,,,,,,,,,,,,,,,,,,,No Stock,Mid,,,,,,,2,78,256,334,0.2335,1.4485
,,,,,,,,,,,High,,,,,,,,No Stock,,,,,,,,2,46,151,197,0.2335,1.4483
,,,,,,,,Medium,,,,,,,,,,,,,High,,,,,New,3,7,23,30,0.2333,1.4473
,,,,,,,,,Junior,,,,,Many,,,,,,,,,New,,,,3,7,23,30,0.2333,1.4473
,Travel_Frequently,,,,,,,,,,Medium,,,,,,,,,,,High,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,Very High,,,,,,,,,,Medium,Very High,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,Medium,,,,Single,Medium,,,,,,,,,,,,,,3,14,46,60,0.2333,1.4473
,,,Medium,,,,,,,Research Scientist,,,,,,,,,,,,,New,,,,3,7,23,30,0.2333,1.4473
,,,,,,High,,,,,High,,,,,Low,,,,,,,,,,,3,7,23,30,0.2333,1.4473
Young,,,,,,,,,Entry,,,,,,,,,,,,,,,,,Mid,3,14,46,60,0.2333,1.4473
,,,Near,,,,,,,Sales Executive,,,,,,,,,No Stock,,,,,,,,3,14,46,60,0.2333,1.4473
Senior,,,,,,,,,,Sales Executive,,,Medium,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,Travel_Frequently,,,,,,,,,Laboratory Technician,,,,,,,,,,,,High,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,Female,,,,Medium,,,,,,,,,,,,,,,New,3,14,46,60,0.2333,1.4473
,Travel_Frequently,,,,,,,High,,Research Scientist,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,Very High,,,,,,,,,Junior,,,,,,New,3,21,69,90,0.2333,1.4473
,,,,,,,Female,,,,Low,,,,,High,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Research & Development,,,,Low,,,,,,,,,,,,,,Mid,,,,,,,3,21,69,90,0.2333,1.4473
,,,,,,Low,,,,,,Divorced,,,,Medium,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,High,,,Very High,,,,,,,,,,,Very High,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Medium,,,,,,Single,,,,,,,,,,,,,Recent,,3,14,46,60,0.2333,1.4473
,,,,,,,,,,,Low,,,,,,,Medium,,,,,Mid,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,Divorced,Low,,,,,,,,,,,,Recent,,3,14,46,60,0.2333,1.4473
,,Sales,,,,Medium,,,,,High,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,Married,,,,Low,,,,Junior,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,Single,,,,High,,,,,,High,,,,,3,14,46,60,0.2333,1.4473
,,,,,,,,,,Sales Executive,Low,,,,,,Excellent,,,,,,,,,,3,14,46,60,0.2333,1.4473
,,Sales,,,,,,,,,,,,,,,,,,,,High,,New,,,3,28,92,120,0.2333,1.4473
,Travel_Frequently,,,Master,,,,,,,,,,,,,,,No Stock,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,,,,,,,,,,,,Low,,Low,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,Marketing,,,,,,,,,,,,,,,,,,Mid,,,,3,14,46,60,0.2333,1.4473
,,Sales,,,Life Sciences,,,,,,,,,,,,,,,,,,,,Mid,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,Married,,,,,,Low,,,,,,,,New,3,14,46,60,0.2333,1.4473
,Travel_Rarely,,,,,,,,,,Medium,,,,,,Outstanding,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Very High,,,Entry,,,,,,,,,,,,High,,,,,,3,7,23,30,0.2333,1.4473
,,,Far,,,,,,,,,,High,,Yes,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,,Very High,,Medium,,,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Low,,,Entry,,,,,,,,,,,,,,,Established,,,3,7,23,30,0.2333,1.4473
,,,Near,,,,,,,,,Single,,,,,Outstanding,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,,,High,,,High,,,,New,3,7,23,30,0.2333,1.4473
,,,,,,,Female,,,,,Divorced,Low,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,Near,,,,,,Entry,,,,,,,,Outstanding,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Very High,,,,,,,Low,,,Medium,,,,,,,,,,,3,14,46,60,0.2333,1.4473
,,,,,,,,High,,,Low,,,,,,,,,Junior,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Low,,,,,,,,,,,,High,,,,,Senior,,,,3,7,23,30,0.2333,1.4473
Mid,,,,,,,,,,,,,,,,High,,,,,,,New,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,High,Single,,,,,,,,,,,,,Mid,,3,7,23,30,0.2333,1.4473
,,,,,,,,Medium,,Laboratory Technician,,,,,,,,,,,,,Mid,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,Human Resources,,,,,,,Excellent,,,,Medium,,,,,,3,7,23,30,0.2333,1.4473
Young,,,,,,,,,,,,,,,,,,High,,,High,,,,,,3,7,23,30,0.2333,1.4473
,,,Medium,,Technical Degree,,,,,,,,,,,,Excellent,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,,,,,Entry,,,Married,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,Medium,Single,Medium,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
Mid,,,,,,,,,,,,,,,,,,,No Stock,,,,,,,New,3,35,115,150,0.2333,1.4473
Young,,,,,,,,,,,,,,,,,,,,Mid,,,,,Mid,,3,7,23,30,0.2333,1.4473
,,,Near,Bachelor,,,,,,,,,,Many,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,Research Scientist,,,,,,,,,No Stock,,,,Senior,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,,,,Medium,,,,,,,,,,,,,,,,,Mid,,3,7,23,30,0.2333,1.4473
,,,,,,,Male,,Entry,,,,,,,,,,,,Low,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,Female,,,Laboratory Technician,,Single,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Low,,,,,,,,,,,,High,,,,,,,Recent,,3,14,46,60,0.2333,1.4473
,,,,,,Low,,,,,,,,,,,,Very High,,,,High,,,,,3,14,46,60,0.2333,1.4473
Young,,,,,,,,,,,Medium,,,,,,,,,,,,Mid,,,,3,7,23,30,0.2333,1.4473
,Travel_Frequently,,Medium,,,,,,,,,,,Few,,,,,,,,,,,,,3,14,46,60,0.2333,1.4473
,,,,,,,,,,,Low,,,,,Low,,,,,,,,,,New,3,7,23,30,0.2333,1.4473
,Travel_Rarely,,,,,,,,,Research Scientist,,,,Many,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,Medium,,,,,Medium,,Low,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Research & Development,,,,,,,,,,,,,,,,Low,,,,,,,Recent,,3,28,92,120,0.2333,1.4473
,,,Far,,,,Male,,,,,,,,,,Outstanding,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,Mid,,,,,,,,,Low,,,Medium,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,,,Female,,,,,,,,,Medium,,,,,,,,,,,3,21,69,90,0.2333,1.4473
,,,Far,,,,Male,,Mid,,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Low,,,,,,,,,,Medium,,,,,,Medium,,,,,3,7,23,30,0.2333,1.4473
,Travel_Frequently,,Far,,,,,,,,,,,,,Medium,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,Low,,,Few,,,,Medium,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,Medium,,,High,,,,,,,,,,,,,,,,Medium,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Very High,,,,,,,,,,,Excellent,,,Junior,,,,,,,3,21,69,90,0.2333,1.4473
,,,Near,,,Low,,,,,,,,,,,,Low,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,High,,,,,,,,,,,Outstanding,,,,,,,,,New,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,Low,,No,,,,,Junior,,,,,,,3,35,115,150,0.2333,1.4473
,Travel_Rarely,Human Resources,,,,,,,,,,,,,,,,,,,,High,,,,,3,7,23,30,0.2333,1.4473
,,,,,,High,Female,,,,,,,,,,,,,Junior,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,Excellent,,No Stock,,,,,,,,2,126,414,540,0.2333,1.4473
,,,,,,,Female,,,,,,,,,,,,,,,Low,,,,,2,7,23,30,0.2333,1.4473
,,,,Bachelor,,,,,,,Low,,,,,Low,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,Bachelor,,,,,,Laboratory Technician,,,,,,,,,,,,,,,,Mid,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,Medium,,,,,,,,New,Recent,,3,63,207,270,0.2333,1.4473
,,,,,,,,,,Laboratory Technician,,,Low,,,,,Medium,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,Near,,,,,,,,,,,,,Low,,,,,,,,,,,3,14,46,60,0.2333,1.4473
,,,,,Life Sciences,,,,Entry,,,,,,,,,,,,,,Senior,,,,3,7,23,30,0.2333,1.4473
,,,,BelowCollege,,,,,,Research Scientist,,,,Few,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Life Sciences,,,,,Laboratory Technician,,,,,,Low,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,Travel_Rarely,,,,Marketing,,,,,,,,,,,,,,,,,,,,Mid,,3,7,23,30,0.2333,1.4473
,,,,,Medical,,,,,Research Scientist,,,,,,,,,,,,,,New,,,3,14,46,60,0.2333,1.4473
,,,,BelowCollege,,,,,Entry,,,,,,,,,High,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Marketing,,,,,,Low,,,,,,Excellent,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Marketing,,,,,,High,,,,,,,,,,Medium,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Marketing,,,,,,Medium,,,,,,,,,,Medium,,,,,,3,7,23,30,0.2333,1.4473
,,,,BelowCollege,,,,,,,Very High,,,,,Medium,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,Travel_Rarely,,,,,Low,,,Mid,,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,Master,,,,,,,,Single,,Many,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,,,No Stock,Mid,Low,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,,,No Stock,,,Medium,,,Mid,,3,7,23,30,0.2333,1.4473
,,,Far,,Technical Degree,,,,,,,,,,,,,,,,,,,,,,2,7,23,30,0.2333,1.4473
,,,,,Medical,High,,,,,,,,,,Low,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,Travel_Frequently,,,,,,,,,,,,,,,,,,,,Medium,,,,Long,,3,7,23,30,0.2333,1.4473
,,,,,,,,High,,,,,,,,,,,No Stock,,Low,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,Laboratory Technician,,Divorced,Low,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,,,High,Mid,Medium,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Marketing,,,,,,,,,,,,,,,,,,Mid,,,,2,14,46,60,0.2333,1.4473
,,,,,,,,,,,,,,,,,,High,,,,Very High,,,Recent,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,Research Scientist,Low,,,,,,,,,,,,Mid,,,,3,7,23,30,0.2333,1.4473
,,,,,Medical,,Male,,,,Low,,,,,,,,,,,,,,,,3,14,46,60,0.2333,1.4473
,,,,College,,,,,,,,Single,,,,,,,,,,,,,,Mid,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,,Medium,,,Medium,Very High,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,Entry,Sales Representative,,Married,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,Entry,,Low,,,,,,,Very High,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Research & Development,Far,,,,,,,,,,,,,,,,,,,,,,Long,,3,7,23,30,0.2333,1.4473
,Travel_Rarely,,,,Technical Degree,,,,,,,,,,,,,,,,,,,Established,,,3,7,23,30,0.2333,1.4473
,,,,Bachelor,Marketing,,,,,,,,,,,,,,,Mid,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,Very High,Female,,,,,,,,Yes,,,,,,,,,,,,3,14,46,60,0.2333,1.4473
,Travel_Rarely,,,,Marketing,,,,,,Medium,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Technical Degree,,,,,,,,,,,,,,,,,,,Established,,Mid,3,7,23,30,0.2333,1.4473
,Travel_Rarely,,,,,,,,,,,Single,,,,Medium,,,,,,,,,,,3,42,138,180,0.2333,1.4473
,,,Medium,,,,,,,,,,,,,,,,,Junior,High,,,,,,3,7,23,30,0.2333,1.4473
Young,,,,BelowCollege,,,,,,,,,,,,,,,,,,High,,,,,3,14,46,60,0.2333,1.4473
,,,,,,,,,,,,,Medium,,,,,Low,,,,,,,Long,,3,7,23,30,0.2333,1.4473
,,,,,Technical Degree,,,,,,,,,,,,,,,,Medium,,,Established,,,3,7,23,30,0.2333,1.4473
,,,,Bachelor,Marketing,,Male,,,,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,,Life Sciences,Low,,,,,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,Few,No,,,,,,,Low,,,,,3,7,23,30,0.2333,1.4473
,,,,,Technical Degree,,,,,,,,Medium,,,,,,,,,,,Established,,,3,7,23,30,0.2333,1.4473
,,,,,,,Female,,,,,,,,Yes,,,High,,,,,,,,,3,14,46,60,0.2333,1.4473
,Travel_Rarely,,,,Technical Degree,,,,,,High,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
Senior,,Sales,,,,,,,,,,,,,,,,High,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,Master,,Low,,,,,,,High,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,BelowCollege,,,Female,,Entry,,,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,Medical,,,,,,,,,,,,Outstanding,,No Stock,,,,,,,,3,7,23,30,0.2333,1.4473
,Travel_Rarely,,,,,,,,,,,,Low,,,,,,,,,,Senior,,,,3,7,23,30,0.2333,1.4473
,,,,Bachelor,Technical Degree,,,,,,,,,,,,,,,,,,Mid,,,,3,7,23,30,0.2333,1.4473
Young,,Sales,,,,,,,,,Very High,,,,,,,,,,,,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,Female,,,,,,,,,Low,,Low,,,,,,,,,3,7,23,30,0.2333,1.4473
Young,,Sales,,,,,,,,,,,,,,,,Medium,,,,,,,,,3,7,23,30,0.2333,1.4473
,,Sales,,Master,,,,,,,,,,,,,,,,,,Medium,,,,,3,7,23,30,0.2333,1.4473
,,,,,,,,,,,,,,,,,,,No Stock,Mid,,,,,,New,3,31,102,133,0.2331,1.4457
,,,,,,,,,,,,,,,,Low,,,,,,,,New,,New,3,31,102,133,0.2331,1.4457
,,,,,,,,,,,,,,,,,Excellent,,,,,,,New,,New,3,107,352,459,0.2331,1.4459
Mid,,,,,,,Male,,,,,,,,,,,,,,,,New,,,,3,24,79,103,0.233,1.4453
,,,,,,,,,,,Very High,,,,Yes,Medium,,,,,,,,,,,3,17,56,73,0.2329,1.4444
,,Research & Development,,,,,,,Entry,,,,,,,,,,,,,,,,Recent,,3,75,247,322,0.2329,1.4447
,,,,,,Medium,,,Entry,,,,,,,,,,,,Medium,,,,,,3,17,56,73,0.2329,1.4444
,,,,,,Low,,,,,,,,Some,,,,,,,,,,,,,2,17,56,73,0.2329,1.4444
,,,,,,,,,,,,,,,,,,,No Stock,Mid,High,,,,,,3,17,56,73,0.2329,1.4444
Young,,,,,,Very High,,,,,,,,,,,,,,,,,,New,,,3,17,56,73,0.2329,1.4444
,,,,,,,,,Entry,,,Divorced,,,,,,,,,,,,New,,,3,17,56,73,0.2329,1.4444
,,,,,,,,,,,,,Low,,,Medium,,Very High,,,,,,,,,3,17,56,73,0.2329,1.4444
Young,,,,,,,,High,,,,,,,,,,,,,Medium,,,,,,3,34,112,146,0.2329,1.4444
,,,,,,,,High,,,,,,,,,,,,Mid,,,,,Long,,3,17,56,73,0.2329,1.4444
,,,,,Life Sciences,,,,,,,,,,,,,,,,Medium,,,New,,,3,44,145,189,0.2328,1.444
,,,,Bachelor,,,,,,,,,,,,,Excellent,,,,,,,,,New,3,54,178,232,0.2328,1.4437
,Travel_Frequently,,,,,,Male,,,,,,,,,,,,,,Medium,,,,,,3,27,89,116,0.2328,1.4437
,,,Medium,,,,,,,,,,,,,,,,No Stock,Mid,,,,,,,3,27,89,116,0.2328,1.4437
,,Research & Development,,,,,,,Entry,,,,,,,,,,,,,,,,,,2,101,333,434,0.2327,1.4434
,,,,,,,,High,,,,,,Few,,,,,,Junior,,,,,,,3,37,122,159,0.2327,1.4434
,,Sales,,,,,,,,,,,,,,,,,,,High,,,,,New,3,10,33,43,0.2326,1.4424
,,Sales,,,,,,,,,,,,Some,,,,,,,,,Mid,,,,3,10,33,43,0.2326,1.4424
,,,,,Marketing,Very High,,,,,,,,,,,Excellent,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,College,,,,,,,,,Medium,,,,,Low,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,Bachelor,,,,,,,Very High,,,,,,,,,,,,New,,,,3,10,33,43,0.2326,1.4424
,,,,Bachelor,,,,,,Laboratory Technician,,,,,,,,,,,,,Mid,,,,3,10,33,43,0.2326,1.4424
,,,,,Medical,,,,,Research Scientist,,,,,,,,,,Junior,,,,,,,3,10,33,43,0.2326,1.4424
,,,,Master,,,,,Entry,,,,Low,,,,,,,,,,,,,,3,20,66,86,0.2326,1.4424
,,,,BelowCollege,,,,High,,,,,,,,,,,,Junior,,,,,,,3,10,33,43,0.2326,1.4424
,,,,College,,Low,,,,,,,,,No,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,Bachelor,Life Sciences,,,,,,,,,,,High,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,Bachelor,Technical Degree,,,,,,,,,,No,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,Medium,,,,,,,,,,,,,,,High,,,,,New,,,,3,10,33,43,0.2326,1.4424
,,,Medium,,,,,,,,,,,,,,Excellent,,,,Low,,,,,,3,10,33,43,0.2326,1.4424
,,,Medium,,Medical,,,,,,,,,,,Low,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,Near,,,,,,,,,,,,,Low,,,No Stock,,,,,,,,3,20,66,86,0.2326,1.4424
,,,,,,Low,,Medium,,,,,,,,,,,,,,High,,,,,3,10,33,43,0.2326,1.4424
,,Research & Development,,,,,,,,,,,,,No,,,,,,,Low,,,,,3,10,33,43,0.2326,1.4424
,,Research & Development,,,,,,,,,,,,,,Low,,Low,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,Near,,,,,,,,,,,Many,,,,,,,Medium,,,,,,3,20,66,86,0.2326,1.4424
,,,Far,,,,,,,,,Married,,,,Low,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,Medium,,,,,,,Laboratory Technician,,,Medium,,,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,Very High,,,,,,Married,Low,,,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,Very High,,,,,,,,,Yes,Low,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,Near,,,Low,,,,,,,,,,,,,,,,,,,,Mid,3,10,33,43,0.2326,1.4424
,,,Medium,,,Low,,,,,,,Medium,,,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,Near,,Technical Degree,,,,,,,,,,,,,,,,,High,,,,,3,10,33,43,0.2326,1.4424
,,,,,,Low,,,,Sales Executive,,,Medium,,,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,Bachelor,,,,,,,,,,,,,,Low,,,,,,,,Mid,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,Medium,,Yes,High,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,,,,,Excellent,High,,,,,,,Long,,3,10,33,43,0.2326,1.4424
,Travel_Rarely,,,College,,,,,,,,,,,,,,Low,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,Low,,,,,,,Mid,High,,,,,,3,10,33,43,0.2326,1.4424
,,Sales,,,,,,,,,Medium,,,,,,,,,,,,,,,,2,20,66,86,0.2326,1.4424
Young,,,Far,,,,,,,,,Married,,,,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,Travel_Rarely,,,,,,,,Entry,,,,,,,High,,,,,,,,,,,3,20,66,86,0.2326,1.4424
Mid,,,,,,,,,,,,,,,,,,,,,,,New,,Mid,,3,10,33,43,0.2326,1.4424
,Travel_Frequently,,,,Life Sciences,,,,,,,,,,,,,Very High,,,,,,,,,3,10,33,43,0.2326,1.4424
Young,,,,Bachelor,,,,,,,,,,,,Low,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,,,Yes,,,Very High,,,,,,,,Mid,3,10,33,43,0.2326,1.4424
Mid,Travel_Frequently,Sales,,,,,,,,,,,,,,,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,,,,,,,No Stock,,High,High,,,,,3,20,66,86,0.2326,1.4424
,,,,,,,,,,,,,Low,,,,Outstanding,,,,,High,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,Research Scientist,,,Low,,,Low,,,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,,,No,,,Low,No Stock,,,,,,,,3,20,66,86,0.2326,1.4424
Mid,,,,,,,,,Entry,,,,,,,,,,,Junior,,,,,,,3,20,66,86,0.2326,1.4424
,,,,,,,,Medium,,,,,,,,,,,,,High,,,,Recent,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,Very High,,,,,,,,,Junior,,,,New,,,3,20,66,86,0.2326,1.4424
,,,,,,Low,,,,,,,,,,,,High,,,,,,,,,2,20,66,86,0.2326,1.4424
Mid,,,,,,Low,,High,,,,,,,,,,,,,,,,,,,3,20,66,86,0.2326,1.4424
Young,,,Near,,,,,,,,,,,,,,,Very High,,,,,,,,,3,10,33,43,0.2326,1.4424
,,,,,,,,,,,,,,,Yes,,,High,,,,,,Established,,,3,10,33,43,0.2326,1.4424
,Travel_Rarely,,,,,,,,Entry,,,,,,,,Excellent,,,,,,,,,,3,76,251,327,0.2324,1.4416
,,,,,,,,,,,High,,,,,,,,,,,,,New,Recent,,3,36,119,155,0.2323,1.4406
,,,,,,,,,,,,,,Few,,,Excellent,,,,,,,New,,,3,72,238,310,0.2323,1.4406
Young,,Research & Development,,,,,,,,,,,,,,,,,,,,,,,,,2,59,195,254,0.2323,1.4407
,,,,,,,,,,,High,,,,,,Excellent,,,,,,,,,New,3,46,152,198,0.2323,1.441
,,,,,,,,,,,,,,Many,,Medium,,,,,Medium,,,,,,3,23,76,99,0.2323,1.441
,,,,,,Low,Male,,,,,,,,,,,,,,,High,,,,,3,23,76,99,0.2323,1.441
Mid,Travel_Rarely,,,,,Low,,,,,,,,,,,,,,,,,,,,,3,23,76,99,0.2323,1.441
,,Research & Development,,,,,Male,,,,,,,Many,,,,,,,,,,,,,3,23,76,99,0.2323,1.441
,,,,,,,,,,Sales Executive,,,Medium,,,,,,No Stock,,,,,,,,3,23,76,99,0.2323,1.441
,,,,,,,,,Entry,,,,,,,,Excellent,,,,,High,,,,,3,62,205,267,0.2322,1.4403
,,,,,,,,,Entry,,,,,,,,,,,,,High,,,,,2,75,248,323,0.2322,1.4402
,,,,,,,,,,,,,,Few,,,,,,Junior,High,,,,,,3,13,43,56,0.2321,1.4399
Young,,Research & Development,,,,,,,,,,,,,,High,,,,,,,,,,,3,13,43,56,0.2321,1.4399
,,,,Bachelor,,,,,,,,,Medium,,Yes,,,,,,,,,,,,3,13,43,56,0.2321,1.4399
,,,,,,High,,,,,,,Low,,,,,,,Mid,,,,,,,3,13,43,56,0.2321,1.4399
,Travel_Rarely,,,,,,,,,,,,,,,Low,,,,Junior,,,,,,,3,13,43,56,0.2321,1.4399
,,,,,,Medium,,High,Entry,,,,,,,,,,,,,,,,,,3,13,43,56,0.2321,1.4399
,,,,College,,,,,,,,,,,,Medium,,,No Stock,,,,,,,,3,13,43,56,0.2321,1.4399
,,,,,,,Female,,,,,Married,Low,,,,,,,,,,,,,,3,13,43,56,0.2321,1.4399
Young,Travel_Rarely,,Near,,,,,,,,,,,,,,,,,,,,,,,,3,26,86,112,0.2321,1.4399
,,,,,,,,,,,High,,,,,Medium,,,,,,Medium,,,,,3,13,43,56,0.2321,1.4399
,Travel_Rarely,,Far,,,,,Medium,,,,,,,,,,,,,,,,,,,3,13,43,56,0.2321,1.4399
,,,,Bachelor,,,,,,,,,,,,,,,,,High,,,New,,,3,13,43,56,0.2321,1.4399
,,,,,,,,High,,,,,Low,,,,,,,,,Medium,,,,,3,13,43,56,0.2321,1.4399
,,Sales,,,,,,,,,,,,,,Low,,,,,,,Mid,,,,3,13,43,56,0.2321,1.4399
Young,,,,,,,,,,,,,,,No,,,,,,,,,,,New,3,39,129,168,0.2321,1.4399
Young,,,,,,Low,,,,,,,,Few,,,,,,,,,,,,,3,13,43,56,0.2321,1.4399
,,,,,,,,,Entry,,,,,,,,Outstanding,,,,,High,,,,,3,13,43,56,0.2321,1.4399
